T(K),Rs(Ohmsq)
97.181,3312.35102
97.204,3313.97159
97.236,3311.03444
97.259,3314.15452
97.28,3315.34265
97.319,3313.22731
97.342,3316.24487
97.37,3318.46072
97.391,3315.80972
97.417,3318.95667
97.447,3318.09831
97.472,3319.1493
97.497,3319.78127
97.527,3320.67151
97.547,3319.42693
97.576,3322.382
97.605,3323.79103
97.635,3321.74047
97.658,3322.95237
97.69,3322.40088
97.706,3323.73293
97.736,3324.16446
97.762,3324.98875
97.797,3325.90462
97.819,3326.35351
97.847,3326.12817
97.868,3323.04314
97.898,3325.04098
97.922,3327.3189
97.948,3329.07357
97.971,3329.27253
98.004,3330.16986
