# Adapted from Miriade.ephemcc.results
# Request:
# targetType: Planet,targetNumber: 4,targetName: Mars,Diameter: 6780.00 km,Orbital period: 6.86980000E+02 d,Time_Scale: UTC,Planetary_Theory: INPOP13C,Coordinates: Ecliptic,frameType: Astrometric J2000,frameCentre: Geocenter
# Nb rows: 900
Target,Date,Longitude (d:m:s),Longitude (decimal),Latitude (d:m:s),Latitude (decimal)
Mars,2015-11-09,177 25 45.7207,177.42936686,+01 24 26.8387,1.40745519
Mars,2015-11-10,178 1 59.4008,178.03316689,+01 24 36.9552,1.41026533
Mars,2015-11-11,178 38 10.8381,178.63634392,+01 24 46.9462,1.41304061
Mars,2015-11-12,179 14 19.9829,179.23888414,+01 24 56.8082,1.41578006
Mars,2015-11-13,179 50 26.7864,179.84077400,+01 25 6.5378,1.41848272
Mars,2015-11-14,180 26 31.2023,180.44200064,+01 25 16.1318,1.42114772
Mars,2015-11-15,181 2 33.1879,181.04255219,+01 25 25.5874,1.42377428
Mars,2015-11-16,181 38 32.7044,181.64241789,+01 25 34.9022,1.42636172
Mars,2015-11-17,182 14 29.7184,182.24158844,+01 25 44.0743,1.42890953
Mars,2015-11-18,182 50 24.2026,182.84005628,+01 25 53.1028,1.43141744
Mars,2015-11-19,183 26 16.1358,183.43781550,+01 26 1.9871,1.43388531
Mars,2015-11-20,184 2 5.5040,184.03486222,+01 26 10.7278,1.43631328
Mars,2015-11-21,184 37 52.2997,184.63119436,+01 26 19.3259,1.43870164
Mars,2015-11-22,185 13 36.5215,185.22681153,+01 26 27.7835,1.44105097
Mars,2015-11-23,185 49 18.1721,185.82171447,+01 26 36.1032,1.44336200
Mars,2015-11-24,186 24 57.2557,186.41590436,+01 26 44.2877,1.44563547
Mars,2015-11-25,187 0 33.7745,187.00938181,+01 26 52.3398,1.44787217
Mars,2015-11-26,187 36 7.7246,187.60214572,+01 27 0.2620,1.45007278
Mars,2015-11-27,188 11 39.0930,188.19419250,+01 27 8.0557,1.45223769
Mars,2015-11-28,188 47 7.8558,188.78551550,+01 27 15.7214,1.45436706
Mars,2015-11-29,189 22 33.9775,189.37610486,+01 27 23.2585,1.45646069
Mars,2015-11-30,189 57 57.4126,189.96594794,+01 27 30.6652,1.45851811
Mars,2015-12-01,190 33 18.1068,190.55502967,+01 27 37.9390,1.46053861
Mars,2015-12-02,191 8 35.9992,191.14333311,+01 27 45.0766,1.46252128
Mars,2015-12-03,191 43 51.0241,191.73084003,+01 27 52.0742,1.46446506
Mars,2015-12-04,192 19 3.1116,192.31753100,+01 27 58.9276,1.46636878
Mars,2015-12-05,192 54 12.1890,192.90338583,+01 28 5.6324,1.46823122
Mars,2015-12-06,193 29 18.1808,193.48838356,+01 28 12.1837,1.47005103
Mars,2015-12-07,194 4 21.0093,194.07250258,+01 28 18.5767,1.47182686
Mars,2015-12-08,194 39 20.5946,194.65572072,+01 28 24.8064,1.47355733
Mars,2015-12-09,195 14 16.8552,195.23801533,+01 28 30.8677,1.47524103
Mars,2015-12-10,195 49 9.7083,195.81936342,+01 28 36.7555,1.47687653
Mars,2015-12-11,196 23 59.0716,196.39974211,+01 28 42.4648,1.47846244
Mars,2015-12-12,196 58 44.8637,196.97912881,+01 28 47.9910,1.47999750
Mars,2015-12-13,197 33 27.0064,197.55750178,+01 28 53.3298,1.48148050
Mars,2015-12-14,198 8 5.4258,198.13484050,+01 28 58.4776,1.48291044
Mars,2015-12-15,198 42 40.0542,198.71112617,+01 29 3.4314,1.48428650
Mars,2015-12-16,199 17 10.8311,199.28634197,+01 29 8.1891,1.48560808
Mars,2015-12-17,199 51 37.7038,199.86047328,+01 29 12.7492,1.48687478
Mars,2015-12-18,200 26 0.6273,200.43350758,+01 29 17.1110,1.48808639
Mars,2015-12-19,201 0 19.5640,201.00543444,+01 29 21.2747,1.48924297
Mars,2015-12-20,201 34 34.4821,201.57624503,+01 29 25.2406,1.49034461
Mars,2015-12-21,202 8 45.3540,202.14593167,+01 29 29.0095,1.49139153
Mars,2015-12-22,202 42 52.1533,202.71448703,+01 29 32.5820,1.49238389
Mars,2015-12-23,203 16 54.8517,203.28190325,+01 29 35.9584,1.49332178
Mars,2015-12-24,203 50 53.4160,203.84817111,+01 29 39.1384,1.49420511
Mars,2015-12-25,204 24 47.8041,204.41327892,+01 29 42.1205,1.49503347
Mars,2015-12-26,204 58 37.9636,204.97721211,+01 29 44.9024,1.49580622
Mars,2015-12-27,205 32 23.8296,205.53995267,+01 29 47.4805,1.49652236
Mars,2015-12-28,206 6 5.3258,206.10147939,+01 29 49.8501,1.49718058
Mars,2015-12-29,206 39 42.3646,206.66176794,+01 29 52.0056,1.49777933
Mars,2015-12-30,207 13 14.8493,207.22079147,+01 29 53.9407,1.49831686
Mars,2015-12-31,207 46 42.6753,207.77852092,+01 29 55.6485,1.49879125
Mars,2016-01-01,208 20 5.7317,208.33492547,+01 29 57.1218,1.49920050
Mars,2016-01-02,208 53 23.9024,208.88997289,+01 29 58.3528,1.49954244
